name,type,pos,time,sam,group,dw,amount,markers,Bs,Ea,Eg,Et,Ed,Ez,Es,Pa,Sr,Sq,Sn,Ta,Ps,Pk,Pd,Pz,Nl,Ip,Is,Oc,Oe,Oi,Os,Sp,Sm,Se,Sp,Bs,Gy
CB08,ST,Low,5,2,B,1.133,0.05,376,119,32,0,6,8,12,17,2,7,8,5,15,5,0,12,1,2,2,1,9,0,3,5,18,2,5,10,12,79
CB08,ST,Low,5,4,B,1.273,0.05,337,80,24,7,2,1,7,30,0,12,6,7,6,0,0,3,13,5,2,0,5,0,1,1,16,0,1,19,21,168
CB08,ST,Low,5,3,A,1.144,0.05,279,79,23,1,3,1,19,32,1,4,14,2,6,0,0,12,12,4,0,0,0,0,0,0,21,0,1,18,23,51
CB08,ST,Low,5,1,A,1.594,0.05,218,87,26,12,5,1,10,35,0,14,5,4,7,0,0,3,22,7,1,0,4,1,0,0,9,0,0,21,38,173
CB08,ST,Low,5,5,A,1.181,0.05,358,63,33,7,3,3,6,42,0,10,5,3,10,0,0,7,17,4,1,0,4,0,1,0,7,0,0,27,21,207
CB08,ST,Low,5,6,B,1.234,0.05,301,72,42,0,3,2,21,34,0,5,15,1,3,5,0,27,2,8,0,0,0,0,0,0,23,2,0,13,39,93
CB08,ST,Low,4,4,B,1.189,0.05,439,61,22,4,1,0,6,33,0,7,3,6,4,0,1,6,6,1,0,0,0,0,0,0,13,0,0,18,19,151
CB08,ST,Low,4,2,B,1.367,0.05,230,70,24,4,4,4,5,19,0,3,10,1,6,1,0,11,11,0,1,0,0,0,0,0,11,1,0,8,30,91
CB08,ST,Low,4,1,A,1.145,0.05,382,109,19,1,6,1,12,27,0,5,6,2,5,0,0,8,25,7,0,0,0,0,0,0,13,3,0,2,17,93
CB08,ST,Low,4,5,A,1.013,0.05,419,124,14,3,3,1,5,18,0,7,7,3,7,0,0,4,21,2,2,0,0,0,0,0,9,1,0,6,28,111
CB08,ST,Low,4,6,B,1.303,0.05,436,100,15,0,2,5,6,26,0,8,10,2,6,3,0,9,17,6,1,0,0,0,0,0,21,4,0,12,25,94
CB08,ST,Low,4,3,A,1.289,0.05,223,97,41,3,4,4,12,30,1,9,7,4,4,1,0,4,25,7,2,0,0,0,0,0,12,0,0,15,27,117
CB08,ST,Low,2,1,A,1.135,0.05,243,101,26,0,3,1,2,38,0,10,9,1,7,1,0,27,0,6,0,0,0,0,0,0,17,0,0,11,30,187
CB08,ST,Low,2,6,B,1.245,0.05,214,108,16,10,3,4,11,52,0,4,7,2,6,0,0,8,10,2,0,0,0,0,0,0,14,0,0,15,30,152
CB08,ST,Low,3,2,B,1.231,0.05,225,100,28,0,1,4,14,27,0,14,6,3,9,0,0,19,0,3,0,0,2,0,0,0,15,0,0,18,24,153
CB08,ST,Low,3,1,A,1.153,0.05,271,78,23,7,0,3,10,19,0,7,4,1,6,0,0,4,16,3,1,0,0,0,0,0,17,0,0,14,26,131
CB08,ST,Low,3,6,B,1.131,0.05,374,71,20,0,0,3,3,20,0,7,4,2,3,2,0,10,0,4,0,0,0,0,0,0,19,0,0,10,25,119
CB08,ST,Low,3,5,A,1.081,0.05,420,50,10,5,2,9,5,25,0,8,4,1,7,0,0,1,21,2,0,0,0,0,0,0,13,0,0,4,29,155
CB08,ST,Low,2,3,A,1.192,0.05,292,51,19,0,6,11,7,37,0,7,7,0,5,1,0,14,0,2,0,0,0,0,0,0,9,0,0,12,27,137
CB08,ST,Low,2,4,B,1.141,0.05,234,66,20,6,2,4,3,21,0,8,4,0,3,1,0,6,16,1,0,0,0,0,0,8,0,0,0,9,15,139
CB08,ST,Low,2,2,B,1.192,0.05,417,103,18,7,2,7,10,27,0,5,3,1,7,0,0,2,18,4,0,0,0,0,0,0,10,0,0,12,18,213
CB08,ST,Low,2,5,A,1.192,0.05,278,125,29,17,1,8,6,20,0,16,4,0,3,0,0,11,13,3,0,0,0,0,3,0,6,0,0,8,29,214
CB08,ST,Low,3,3,A,1.076,0.05,419,111,22,7,2,4,3,31,0,3,6,0,5,1,0,4,13,3,0,0,0,0,1,0,14,0,0,18,21,157
CB08,ST,Low,3,4,B,1.204,0.05,351,89,11,10,8,4,9,32,0,9,3,0,7,0,0,0,25,2,0,0,0,0,1,0,15,0,0,10,29,173
CBOR,ST,Low,1,15,A,1.115,0.05,232,72,29,3,6,4,4,31,0,10,5,0,5,2,0,2,19,4,0,0,0,0,0,0,18,1,0,29,15,183
CB08,ST,Low,1,6,B,0.887,0.05,298,59,27,3,5,7,8,21,0,3,1,0,4,1,0,9,36,1,0,0,0,0,0,0,7,1,0,8,17,141
CBOR,ST,Low,1,14,B,1.003,0.05,249,34,19,11,3,3,7,14,0,5,3,1,2,0,0,6,14,1,0,0,0,0,0,0,6,0,0,8,24,123
CB08,ST,Low,1,2,B,0.614,0.05,293,26,7,6,0,0,4,8,0,5,1,1,3,1,0,3,15,1,0,0,0,0,0,0,2,0,0,7,13,74
CB08,ST,Low,1,3,A,0.63,0.05,263,53,9,3,4,2,6,33,0,4,5,1,4,1,1,1,4,0,0,0,4,0,0,0,7,0,0,6,17,153
CB08,ST,Low,0,1,A,1.28,0.05,217,122,45,16,9,9,19,59,4,6,18,6,8,1,0,11,32,7,0,0,3,1,0,0,27,2,0,29,47,316
CB08,ST,Low,0,2,B,1.28,0.05,437,122,45,16,9,9,19,59,4,6,18,6,8,1,0,11,32,7,0,0,3,1,0,0,27,2,0,29,47,316
CB08,ST,Up,0,1,A,1.28,0.05,301,122,45,16,9,9,19,59,4,6,18,6,8,1,0,11,32,7,0,0,3,1,0,0,27,2,0,29,47,316
CB08,ST,Up,0,2,B,1.28,0.05,283,122,45,16,9,9,19,59,4,6,18,6,8,1,0,11,32,7,0,0,3,1,0,0,27,2,0,29,47,316
CBOR,ST,Up,3,13,A,1.163,0.05,310,120,35,12,5,6,8,50,0,10,5,0,9,0,0,7,19,3,1,0,2,0,1,0,7,0,0,27,29,230
CB08,ST,Up,2,6,B,1.088,0.05,241,106,33,11,4,4,1,35,0,7,3,2,8,0,1,1,24,2,0,0,5,0,0,0,10,0,0,24,30,168
CB08,ST,Up,3,5,A,1.25,0.05,265,128,38,8,8,1,1,36,0,9,5,3,8,1,0,1,18,3,1,0,2,0,0,0,6,0,0,21,39,216
CB08,ST,Up,5,4,B,1.041,0.05,422,108,26,9,2,0,1,36,0,2,6,4,9,0,0,4,17,3,0,0,4,0,2,0,6,0,0,17,29,124
